Code List,Title
CL008,CountryCodesFullList
CL009,CountryCodesCommonTransit
CL010,CountryCodesCommunity
CL016,CUSCode
CL017,KindOfPackages
CL019,IncidentCode
CL027,Flag
CL038,QualifierOfIdentificationIncident
CL042,DeclarationTypeAdditional
CL048,CurrencyCodes
CL060,MessageTypes
CL070,CountryCodesCustomsOfficeLists
CL076,GuaranteeTypeWithReference
CL094,RepresentativeStatusCode
CL101,UnDangerousGoodsCode
CL112,CountryCodesCTC
CL116,TransportChargesMethodOfPayment
CL141,CustomsOffices
CL147,CountryCustomsSecurityAgreementArea
CL152,HScode
CL160,MessageWithCorrelationIdentifier
CL163,ReleaseType
CL164,ReleaseNotification
CL165,Nationality
CL171,CustomsOfficeDeparture
CL172,CustomsOfficeDestination
CL173,CustomsOfficeTransit
CL175,CustomsOfficeTransitExit
CL177,CustomsOfficeRecovery
CL178,PreviousDocumentUnionGoods
CL180,FunctionalErrorCodesIeCA
CL181,KindOfPackagesBulk
CL182,KindOfPackagesUnpacked
CL190,CountryAddressPostcodeBased
CL192,LanguageByCustoms
CL195,ControlResultCodeDepartureSimplifiedExcluded
CL196,ControlResultCodeDeparture
CL198,CountryAddressPostcodeOnly
CL211,NoReleaseMotivation
CL213,SupportingDocumentType
CL214,PreviousDocumentType
CL215,RequestedDocumentType
CL217,DeclarationTypeSecurity
CL218,TransportModeCode
CL219,TypeOfIdentificationofMeansOfTransportActive
CL226,RejectionCodeDepartureExport
CL227,RejectionCodeDepartureExport
CL228,PreviousDocumentExportType
CL229,GuaranteeTypeCTC
CL230,GuaranteeTypeEUNonTIR
CL231,DeclarationType
CL232,DeclarationTypeItemLevel
CL234,DocumentTypeExcise
CL235,AuthorisationTypeDeparture
CL236,AuthorisationTypeDestination
CL239,AdditionalInformation
CL244,UnLocodeExtended
CL248,CountryCodesForAddress
CL251,GuaranteeType
CL252,InvalidGuaranteeReason
CL286,GuaranteeTypeWithGRN
CL294,CustomsOfficeExitDeclared
CL296,SpecificCircumstanceIndicatorCode
CL326,QualifierOfTheIdentification
CL347,TypeOfLocation
CL349,Unit
CL380,AdditionalReference
CL384,NotificationType
CL385,MessageTypeWithoutHeader
CL505,CountryWithoutZip
CL553,MSCountry
CL560,BusinessRejectionTypeDepExp
CL570,BusinessRejectionTypeDesExt
CL610,MessageWithCorrelationIdentifier
CL704,AdditionalSupplyChainActorRoleCode
CL716,ControlType
CL750,TypeOfIdentificationOfMeansOfTransport
CL754,TransportDocumentType
